Tax Year,Date Filed,Parcel Number,Nickname ,Use of Property,Basis for Petition ,Method of Valuation,Petition Completed by: ,Full Cash Value (FCV) By owner,Limited Property Value (LPV) by owner,FCV by Notice,LPV by Notice,Assessor's Decision (FCV),Assessor's Decision (LPV),Basis for Decision,Reviewed by:,Outcome (i.e. Granted in Full / Granted in Part / No Change),Details of Outcome,FCV %,LPV %,outcome_FCV,outcome_LPV
2018,4/25/2017,102-04-043A,MIP 1-1481 N IND PK DR,Commercial/Industrial,Very old warehouse in the wrong location. Low rent - has not increased for the past 3 years. ,Market Sales Approach ,Delta Properties LLP,612000,612000,670575,643610,612692,612692,The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (9% reduced on FCV and 5% on LPV),9,5,Granted in Part,Granted in Part
2018,4/25/2017,102-04-024A,MIP II - 1200 W IND PK DR,Commercial/Industrial,Very old warehouse in the wrong location. Low rent - has not increased for the past 3 years. ,Market Sales Approach ,Delta Properties LLP,1300000,1300000,1409094,1409094,1349038,1349038,The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (4% on FCV and   on LPV),4,4,Granted in Part,Granted in Part
2018,4/25/2017,113-49-019E,N I P - 92 N FREEPORT DR,Commercial/Industrial,Very old warehouse with wood trusses - low wall height - very difficult to rent. Rents are at very low rate. Can't sell - no buyers for this type of buildings. ,Market Sales Approach ,Delta Properties LLP,1000000,1000000,1072844,1058379,1072844,1058379,Property was reviewed. Property is valued fair and equitable. No change recommended. Already given economic obsolescence. ,Miguel A. Carrillo ,No change ,,0,0,No Change,No Change
2018,4/25/2017,113-49-019G,NIP - 150 FREEPORT DR,Commercial/Industrial,Very old warehouse with wood trusses - low wall height - very difficult to rent. Rents are at very low rate. Can't sell - no buyers for this type of buildings. ,Market Sales Approach ,Delta Properties LLP,329000,329000,346809,346291,329636,329636,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Given economic obsolescence.  ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (5% reduced on FCV and on LPV),5,5,Granted in Part,Granted in Part
2018,4/25/2017,103-06-007,ESCALADNOASIS,Agricultural,Grazing for the Escalada Cattle Co.  - part of the Escalada Ranch. Lease in Assessors file,Market Sales Approach ,Delta Properties LLP,4379,4169,4379,4379,4379,4167,"After further review it has been determined tha the petitioned parcels are being utilized for agriculutral purposes, and all requirements have been met. Agricultural status will be granted at the agricultural per acre value for that area and/or use. ",Edmo Acuna,Granted in full ,No change on FCV / 5% on LPV,0,5,Granted in Full,Granted in Full
2018,4/26/2017,105-21-001,PK MCCOY -LUTERAN CHURCH,Residential ,Old big house with no insulation. Cannot be rented as a house - cannot be rented for office. It is being used by non-profit organization (Luteran Church).,Market Sales Approach,Panousopoulos Scholastic Chari,77000,77000,98149,81646,98149,81646,The limited property value on your parcel has been reviewed. The Limited Property Value has been calculated pursuant to ARS 42-13301 (A). The Limited Property Value on your valuation is the valuation year plus five percent of that value. Limited Property ,Miguel A. Carrillo ,No change,,0,0,No Change,No Change
2019,4/16/2018,113-49-024B,NI P - 149 N FREEPORT DR (PALLETUSMEX),Commercial/Industrial ,Front building in 80% vacant - vacant for the past three years. No market for small warehouse ,Market,Delta Properties LLP,5000000,5000000,5139195,2640118,5113508,2640118,The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. Adjusted improvement No. 1 LPV increased only 5%. Based on A.R.S. 4-13301(A),Miguel A. Carrillo ,No change,,0,0,No Change,No Change
2019,4/16/2018,113-49-013B,UNABLE TO IDENTIFY ,Commercial/industrial,"No market, no sales, to any sinulae properties in area. No reason for a $270k increase to property. No improvements to building or changes in area to merit the incease. ",Market Sales Approach,Delta Properties LLP,5100000,5100000,5837707,5548440,5243490,5243490,Change. The full cash value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (10% reduced on FCV and 5% on LPV),10,5,Granted in Part,Granted in Part
2019,4/16/2018,105-28-017A,VEGGIES - 270 W PRODUCE RD' POSIBL YA SELL ; $,Commercial/Industrial,3/4 of property on railroad. We pay rent to railroad. Warehouse has been vacant for two years. No offers whatsoever have been made. (not produce warehouse),Market Sales Approach ,Panousopoulos Constantine,250000,250000,287758,249876,253651,249876,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (30% reduced on FCV and 25% on LPV),30,25,Granted in Part,Granted in Part
2019,4/16/2018,105-28-016,VOHLAND - 274 W PRODUCE ROW,Commercial/Industrial,"3/4 of building is on railroad property. We pay rent to railroad. Building leased to food bank (non-profit) low rent, check maps please",Market Sales Approach,Panousopoulos Constantine,300000,300000,423405,404065,350497,350497,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (17% on FCV and 13%  on LPV),17,13,Granted in Part,Granted in Part
2020,4/17/2019,105-20-004,MORGAN,Commercial/Industrial,Warehouse sits in flood way. When this warehouse was built it was in flood zone and it is now in the flood way. Market for buildings sit in flood way. Do not increase due to liability. No reason for increase. ,Market,Delta Properties LLP,2500000,2500000,3541823,2669457,2457654,2457654,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel A. Carrillo ,Granted in full ,31% on FCV / 8% on LPV,31,8,Granted in Full,Granted in Full
2020,4/17/2019,105-22-023,DRIVE INN,Commerical/Industrial,Property in flood as per flood control. No wits in flood way even with a 4' dock. No increase on value. ,Market,Delta Properties LLP,2300000,2300000,2929400,2413370,2202386,2202386,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel A. Carrillo ,Granted in full ,25% on FCV / 9% on LPV,25,9,Granted in Full,Granted in Full
2020,4/17/2019,113-45-367,MH - 1310 FAIRWAY ,Commercial/Industrial ,Four years empty. As per ADQ lots are not testing inside warehouse (57 holes to be drilled). No rents,Market,Delta Properties LLP,800000,800000,1269646,1259919,880657,880657,The full cash value has been adjusted for additional depreciation due to conditions u to the subject property. Applying functional obsolescence.,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (30% reduced on FCV and on LPV),30,30,Granted in Part,Granted in Part
2020,4/17/2019,112-46-011,UNABLE TO IDENTIFY ,Vacant Land,Vacant land used part of the D-bar Lazy Y Ranch for many years,Market Sales Approach,Delta Properties LLP,20000,20000,56782,56782,56782,56782,No change. No cost or market information was provided to substantiate your opinion on value. ,Edmo Acuna ,No change,,0,0,No Change,No Change
2020,4/17/2019,113-46-051,La Quinta II Lot 1,Commercial/industrial,"No reason for an increase on full cash value due to no sales or any comprables. This building sits on the flood plane and insurance cost is over $35,000 per year. No bank will finance ",Market Sales Approach,Delta Properties LLP,2500000,2500000,3027579,2754908,2624633,2624633,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (13% reduced on FCV and 5% on LPV),13,5,Granted in Part,Granted in Part
2020,4/17/2019,105-28-017B,VEGGIES - 270 W PRODUCE RD' POSIBL YA SELL ;,Vacant Land,Lot I pie shape. Most of the lot is in Rail Road right of way. The other half of the lot is in the Nogales Wash. Not a builable lot at all. No value - wrong purchase. ,Market Sales / Cost Approach,Delta Properties LLP,2500,2500,16988,16988,8494,8494,Market Value is basis for the assessors's valuation. Adjustments are initiated by the Assessor to reflect the range of sales identified within general market areas. Properties under appeal provide an opportunity for an additional analysis of relevant sales. Subsequent to this futher review of comparative sales an adjustment was initiated to reflect current market value at this location. ,Edmo Acuna,Granted in part ,Half-Way in between request and outcome (50% on FCV and on LPV),50,50,Granted in Part,Granted in Part
2020,4/17/2019,105-20-009K,CASITA PROKTER/NIKOS WAY,Other ,Class is owner occupied by part of the family. This house is not for rent - ratio is at 10% - same as land ,Market Sales Approach ,Delta Properties LLP,80000,80000,100599,94018,89867,89867,The full cash value has been adjusted as a result of a recent re-evaluation. It is determined that the assessment ratio is to be adjusted based on occupancy. ,Edmo Acuna,Granted in part ,Very limited reduction of 11% on FCV and 4% on LPV,11,4,Granted in Part,Granted in Part
2020,4/17/2019,102-01-074,DEL TA PROP. LLP,Commercial/Industrial,Very old hotel. Not all rooms are open for rent. Now restaurant and bar are closed. Vacancy is more than 60%. Cannot compete with new hotels in the area. New hotels are large franchise hotels. ,Market Sales Approach ,Theta Properties LLP,1500000,1500000,2453874,2453874,1767458,1549399,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Given economic obsolescence. Limited property value increased 5% based on ARS 42-13301 (A). ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (28% reduced on FCV and 37% on LPV),28,37,Granted in Part,Granted in Part
2020,4/17/2019,140-01-005,COMBATE (K&F)- 9 OJO CT,Commercial/Industrial,Obsolete building. Building is empty - there is no dock and cannot be used to produce warehouse or any other use. ,Market Sales Approach ,Delta Properties LLP,300000,300000,549040,513444,383855,383855,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Given vacancy obsolescence. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (30% reduced on FCV and 25% on LPV),30,25,Granted in Part,Granted in Part
2021,2/24/2020,112-46-011,UNABLE TO IDENTIFY ,Agricultural,Both parcels grazing,N/A,Delta Properties LLP,,,122853,122853,57093,57093,After further review it has been determined that the petitioned parcels are not being utilized for agricultural purposes and/or all requirements have not been met. No change recommended. ,Edmo Acuna ,N/A,,,,,
2021,2/24/2020,102-01-074B,LOMA LINDA MALL LLC,N/A,As per attached info - loss of rents due to economic obsolence and covid19,N/A,Coua Linda,3794699,3794699,4743374,4523767,3817008,3817008,N/A,N/A,Granted in part ,Very close to Granted in Full; (20% reduced on FCV and 16% on LPV),20,16,Granted in Part,Granted in Part
2021,2/24/2020,102-01-074,DEL TA PROP. LLP,N/A,Restaurant closed - Bar closed. Hotel rooms (stolo rented) out of 117 (10% occupancy),N/A,Delta Properties LLP,1253476,1253476,1790681,1626869,1475618,1475618,The Full Cash Value has been adjusted for additional depreciation due to conditions unique to the subject property. Given economic obsolescence. ,Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (18% on FCV and 9% on LPV),18,9,Granted in Part,Granted in Part
2021,2/24/2020,124-03-034,462 AVENIDA DEL PAPALOTE,N/A ,High vacany - lower rates. No justification for increase ,Market Sales Approach ,Delta Properties LLP,,,786887,647301,725786,647301,See attached for more information,Miguel A. Carrillo ,N/A,,,,,
2021,2/24/2020,102-01-036B,2085 N GRAND/MINI STORAGE,N/A,"No changes, lower occupancy. Same rent rates. ",N/A,Delta Properties LLP,1212625,1212625,1247987,1247987,1147831,1147831,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Given vacancy obsolescence. ,Miguel A. Carrillo ,Granted in full ,8% on FCV / 8% on LPV,8,8,Granted in Full,Granted in Full
2021,4/22/2020,113-49-026B,BARRON NIP 100 ACRES,N/A,15 acres split for comercial remaining 85 acres stays grazing ,N/A,Delta Properties LLP,,,,,3379764,3379764,Due to Market Adjustments already applied to the subject property. No further adjustments are necessary. ,Edmo Acuna,N/A,,,,,
2021,4/24/2020,102-01-038,LAS PALMAS,N/A,60 year old building in flood plane. Very little income due to economic obsolescence. ,N/A,Delta Properties LLP,3298144,655461,3437243,688234,3437243,688234,No change. The limited property value on your parcel has been reviewed. Th elimited property value has been calculated pursuant to ARS 42-13301(A). The limited property value on your valuation is the limited property value of the property in the preceding valuation year plus five percent of that value. Limited property value shall not exceed the current full cash value. ,Miguel Carrillo,No change,,0,0,No Change,No Change
2021,4/24/2020,113-49-019B,N I P - 225 N FREEPORT DR {DAVIDS),N/A,Economic obsolecence. Warehouses affected by border problems. Tenants are not paying the rent. Asking for reductions and terms. No increase is justified. ,N/A,Delta Properties LLP,867960,863295,892194,892194,868576,868576,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Applying vacancy obsolescence. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (3% reduced on FCV and on LPV),3,3,Granted in Part,Granted in Part
2021,4/24/2020,114-50-012,RIO RICO PLAZA ,N/A,No rent increase also 2 spaces rented to non-profits with church paying little rent and museum none,N/A,Delta Properties LLP,,,1555757,1472058,1413095,1337071,The Full Cash Value has been adjsuted for additional depreciation due to conditions unique to the subject property. Applying vacancy obsolescence. ,Miguel A. Carrillo ,N/A,,,,,
2021,4/24/2020,113-49-013B,UNABLE TO IDENTIFY ,N/A,Construction cost was lower. High vacancy on smaller units. ,Cost Approach,Delta Properties LLP,5522479,5298598,5736152,5563528,5544753,5544753,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (3% on FCV and .003%on LPV),3,0,Granted in Part,Granted in Part
2021,4/24/2020,105-28-016,VOHLAND - 274 W PRODUCE ROW,N/A,60 year old warehouses in flood plane. 50% railroad owned. We pay rent monthly. One was vacant for three years. The other occupied by food bank. (economic obsolecence),Other,Delta Properties LLP,298028,298028,646342,646342,334161,334161,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Applying economic obsolescence. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (49% reduced on FCV and on LPV),49,49,Granted in Part,Granted in Part
2021,4/24/2020,102-01-038,LAS PALMAS/MERCADO - 2050 N SMOKEY LN,N/A,60 year old building in flood plane. Very little income due to economic obsolescence. ,N/A,Delta Properties LLP,3298144,655461,3437243,688234,3437243,688234,No change. The limited property value on your parcel has been reviewed. The limited property value has been calculated pursuant to ARS 42-13301(A). The limited property value on your valuation is the limited property value of the property in the preceding valuation year plus five percent of that value. Limited Property Value shall not exceed the current Full Cash Value. ,Miguel A. Carrillo ,No change ,,0,0,No Change,No Change
2022,3/26/2021,105-20-004,MORGAN,Commercial/Industrial,Warehouse sits on floodway. No improvements can be made due to fema restrictions. Flood insurance is required. Very hard to sell. No reason for full cash value increase. ,Market,Delta Properties LLP,2400000,2400000,2593973,2580537,2413027,2413027,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel A. Carrillo ,Granted in Part,Very close to Granted in Full; (7% reduced on FCV / 6% reduced on LPV),7,6,Granted in Part,Granted in Part
2022,3/26/2021,113-45-367,MH - 1310 FAIRWAY ,Commercial/Industrial ,Very old warehouse - not a produce type warehouse. It is a manfacture warehouse. Empty for many years very hard to lease due to unique design. No comprables to support increase. ,Market,Delta Properties LLP,500000,500000,922249,922249,699858,699858,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (24% on FCV and on LPV),24,24,Granted in Part,Granted in Part
2022,3/26/2021,102-01-074B,LOMA LINDA MALL LLC,Commercial/Industrial,Economic obsolecense for Covid-19 rent adjustment - no rent for one year. Also adjustment justified due to store vacancies. ,Market Sales Approach ,Lorna Linda Mall LLC,3400000,3400000,3817008,3817008,3541005,3541005,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. Applying vacancy obsolescence. ,Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (7% reduced on FCV and on LPV),7,7,Granted in Part,Granted in Part
2022,3/26/2021,102-01-074C,DEL TA PROP. LLP,Commercial/Industrial,Economic obsolecense for Covid-19 rent adjustment - no rent for one year. Also adjustment justified due to store vacancies. ,Market Sales Approach ,Delta Properties LLP,2300000,2300000,2752118,2752118,2469030,2469030,The full cash value has been adjusted for additional depreciation due to conditions unique to the subject property. ,Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (10% on FCV and on LPV),10,10,Granted in Part,Granted in Part
2022,3/26/2021,105-20-004A,MORGAN · 30 OLD TUCSON RD,Commercial/Industrial,Warehouse sits on floodway. No improvements can be made due to fema restrictions. Flood insurance is required. Very hard to sell. No reason for full cash value increase. ,Market Sales Approach ,Delta Properties LLP,2400000,2400000,2593973,2580537,2413027,2413027,"After further review of additional information, a field visit and/or aerial image inspection of the area, it is determined that the land value is to be adjusted for topograpy, location, use and/or size considerations. ",Miguel A. Carrillo ,Granted in part ,Very close to Granted in Full; (7% reduced on FCV and 6% on LPV),7,6,Granted in Part,Granted in Part
2022,3/26/2021,102-01-034B,SANCHEZ 156 W MARIPOSA RD,Commercial/Industrial,Economic obsolecense for covid-19 rent adjustment - no rent for one year ,Market Sales Approach ,Delta Properties LLP,360000,360000,470821,470821,411501,395485,The Full Cash Value has been adjusted as a result of a recent re-evaluation. An adjustment is warranted. ,Miguel A. Carrillo ,Granted in part ,Half-Way in between request and outcome (13% on FCV and  16% on LPV),13,16,Granted in Part,Granted in Part
not listed,3/26/2021,102-01-074C,DEL TA PROP. LLP,Commercial/Industrial,Economic obsolecense for Covid-19 rent adjustment - no rent for one year. Also adjustment justified due to store vacancies. ,market sales ,Delta Properties LLP,2300000,2300000,2752118,2752118,2469030,2469030,N/A,N/A,N/A,10% on FCV and on LPV,10,10,,
Not listed,4/8/2021,102-01-035,1967 N. Grand ,Commercial/Industrial,Several charter schools. Did not operate all years $ paid lesser rents,Income ,Delta Properties LLP,3800000,3800000,4304383,4304383,,,N/A,N/A,N/A,,,,,
2022,4/8/2021,103-23-265A,MONTE CARLO APTS,Commercial/Industrial,Apartment rentals value reduced due to Covid-19 & non payment of rents. ,Income ,Ma-thena Properties LLP,560000,560000,671524,671524,568693,568693,The Full Cash Value has been adjsuted as a result of a recent re-evaluation. An adjustment is warranted. Applying vacancy obsolescence.  ,Miguel A. Carrillo ,Granted in Part,Very close to Granted in Full; (15% reduced on FCV and reduced on LPV),15,15,Granted in Part,Granted in Part
Not listed,4/8/2021,105-20-008,CANYON HOUSE/RANCH HOUSE ,Commercial/Industrial,Older house next to a built famuly (old apartment buildings) value has decreased,Market Sales Approach,Delta Properties LLP,400000,400000,446499,446499,682423,446499,N/A,N/A,No change ,,0,0,No Change,No Change
Not listed,4/8/2021,113-49-013B,UNABLE TO IDENTIFY ,Commercial/industrial,Lower values due to border closing and rent discounts,Income Approach,Delta Properties LLP,4250000,4250000,5544753,5544753,5544753,5544753,N/A,N/A,No change,,0,0,No Change,No Change
Not listed,4/8/2021,105-20-010,PK FIELDS - OLD TUCSON HWY,Commercial/industrial,This increase is not justified. No improvements. Same old house.,Income Approach,Delta Properties LLP,600000,600000,942687,689302,942687,689302,N/A,N/A,No change,,0,0,No Change,No Change
Not listed,4/8/2021,113-38-019A,300 OLD TUCSON RD,Commercial/Industrial,covid-19 related problems - value dud not increase devalue due to border closing,Income Approach,Delta Properties LLP,4500000,4500000,4907812,4907812,4907812,4907812,N/A,N/A,No change,,0,0,No Change,No Change
Not listed,4/8/2021,113-38-019B,300 OLD TUCSON RD,Commercial/Industrial,covid-19 related problems - value dud not increase devalue due to border closing,Income Approach,Delta Properties LLP,4500000,4500000,4907812,4907812,4907812,4907812,N/A,N/A,No change,,0,0,No Change,No Change
Not listed,4/8/2021,102-06-018,120 W. WHITE RD./CRISPY F. P.2/17/09,Commercial/Industrial,Resturant closed for over a year. Value should be decreased. ,Income Approach,Delta Properties LLP,250000,250000,362346,362346,362346,362346,N/A,N/A,No change,,0,0,No Change,No Change
Not listed,4/8/2021,102-06-017,130 W. WHITE RD./SONIC P 5/14/09,Commercial/Industrial,Restaurant closed for over a year. Value should be decreased. ,Income Approach,Delta Properties LLP,250000,250000,311656,309420,311656,309420,N/A,N/A,No change,,0,0,No Change,No Change
Not listed,4/8/2021,105-20-009C,PK OLD HSE ' · 50 NIKOS WAY,Commercial/Industrial,A 200 year house & storage used also for worker housing. Both together worth less than shown on value,Income Approach,Delta Properties LLP,215000,215000,463790,441516,463790,441516,N/A,N/A,No change,,0,0,No Change,No Change
not listed,4/8/2021,102-01-012A,UNABLE TO IDENTIFY ,Commercial/Industrial,Building 50% closed for all of last year without income covid-19 related,income,Delta Properties LLP,1250000,1250000,1412938,1412938,1282593,1232675,N/A,N/A,Granted in part ,9% on FCV / 13% on LPV,9,13,Granted in Part,Granted in Part
Not listed,4/8/2021,105-22-008D,BATTING CAGES/MH NORTHCROSS· ADDED 1.30.1,Commercial/Industrial,100% closed for all of 2020 $ 2021 due to covid-19. No income,Income,Delta Properties LLP,125000,125000,197467,197467,166833,166833,N/A,N/A,Granted in part ,16% on FCV / 16% on LPV,16,16,Granted in Part,Granted in Part
2021,2/24/2020,113-49-024B,NI P - 149 N FREEPORT DR (PALLETUSMEX),N/A,Costruction cost was 4 million. No rent increase in 4 years. ,Cost ,Delta Properties LLP,4000000,4000000,5575546,2910730,5575546,2910730,The limited property value on your parcel has been reviewed. The Limited Property Value has been calculated pursuant to ARS 42-13301 (A). The Limited Property Value on your valuation is the valuation year plus five percent of that value. Limited Property ,Edmo Acuna,No change,,0,0,No Change,No Change
2020,Not listed,102-01-035,1967 N. Grand ,Commercial/Industrial,Many flood issues with this property. 80% rented to educational entities. Minimum rent - no market for education campus due to design of buildings. ,Market,Theta Properties LLP,4000000,4000000,4494595,4473078,4151825,4151825,The full cash value has been adjusted for additional description due to conditions unique to the subject property. ,Miguel Carrillo,Granted in Part,Very limited reduction of FCV (8%) / 7% decrease on LPV,8,7,Granted in Part,Granted in Part
