PARCEL #,PROPERTY,TOTAL FCV 2024,TOTAL FCV 2025,FCV VARIANCE 2425,LIMTED VALUE 2024,LIMTED VALUE 2025,LPV VARIANCE 2425,TOTAL FCV 2023,TOTAL FCV 2024,FCV VARIANCE 2324,LIMTED VALUE 2023,LIMTED VALUE 2024,LPV VARIANCE 2324,TOTAL FCV 2022,TOTAL FCV 2023,FCV VARIANCE 2223,LIMTED VALUE 2022,LIMTED VALUE 2023,LPV VARIANCE 2223,TOTAL FCV 2021,TOTAL FCV 2022,FCV VARIANCE 2122,TOTAL FCV 2020,TOTAL FCV 2O21,FCV VARIANCE 2021,TOTAL FCV 2019,TOTAL FCV 2020,FCV VARIANCE 1920,TOTAL FCV 2018,TOTAL FCV 2019,FCV VARIANCE 1819,LIMITED VALUE 2017,LIMITED VALUE 2018,TOTAL FCV 2019,LPV VARIANCE 1718,County
11244565,TUBAC LOT 165- 1607 GOLDEN GATE WAY,225690,197845,-27845,200164,197845,-2319,25792,25792,0,25792,25792,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244566,TUBAC LOT 166- 1605 GOLDEN GATE WAY,217216,213129,-4087,192649,202281,9632,25792,169413,143621,25792,150252,124460,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244567,TUBAC LOT 167- 1603 GOLDEN GATE WAY,218946,214823,-4123,194183,203892,9709,45658,167537,121879,43849,148588,104739,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244568,TUBAC LOT 168- 1601 GOLDEN GATE WAY-SOLD 09.18.23,,,0,,,0,29925,209224,179299,29925,185560,155635,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244569,TUBAC LOT 169,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,SOLD,,,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244570,TUBAC LOT 170,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,27023,24523,2500,27023,24523,2500,2500,0,2500,2500,0,16520,16520,0,14918,14918,0,,14918,14918,0,NPM #1 SANTA CRUZ
11244571,TUBAC LOT 171,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,SOLD,,,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244572,TUBAC LOT 172,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244573,TUBAC LOT 173,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244574,TUBAC LOT 174,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,2500,2500,0,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244575,TUBAC LOT 175,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,SOLD,,,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11244576,TUBAC LOT 176,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244577,TUBAC LOT 177,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244578,TUBAC LOT 178,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244579,TUBAC LOT 179,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,25792,23292,2500,25792,23292,2500,2500,0,2500,2500,0,14238,14238,0,14238,14238,0,,14238,14238,0,NPM #1 SANTA CRUZ
11244580,TUBAC LOT 180,8135,8135,0,8135,8135,0,8135,8135,0,8135,8135,0,2500,29925,27425,2500,29925,27425,SOLD,,,2500,2500,0,16520,16520,0,16520,16520,0,,16520,16520,0,NPM #1 SANTA CRUZ
11246011 8,PALO PARADO,31382,33260,1878,26148,27455,1307,27906,31382,3476,24902,26147,1245,26303,27906,1603,23717,24902,1185,24977,26303,1326,56782,57093,311,54317,56782,2465,53174,54317,1143,53195,53174,54317,1143,NPM #1 SANTA CRUZ
11338002A,RUBY SOUTHWEST - TRAILER -GRAZING,551,496,-55,551,496,-55,551,551,0,551,551,0,551,551,0,551,551,0,551,551,0,551,551,0,551,551,0,551,551,0,551,551,551,0,NPM #1 SANTA CRUZ
11338003A,NORAHS RANCH N1/2,683,683,0,683,683,0,683,683,0,683,683,0,683,683,0,683,683,0,683,683,0,683,683,0,683,683,0,75377,,,3063250,66745,,,NPM #1 SANTA CRUZ
11338007A,NORA NORTH 3- 293 OLD TUCSON RD,6201966,14683174,8481208,4938788,10156486,5217698,658,658,0,658,658,0,658,658,0,658,658,0,658,658,0,65760,65760,0,65760,65760,0,65760,65760,0,,63581,65760,2179,NPM #1 SANTA CRUZ
11338008,NORAH'S RANCH FRONT PT-296 OLD TUCSON RD,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,500,0,NPM #1 SANTA CRUZ
11338014,NORAH'S RANCH NORTH SIDE/298 OLD TUCSON RD,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,0,500,500,500,0,NPM #1 SANTA CRUZ
11338016,NORAH'S RANCH/707 E FRONTAGE RD-NORAS-DELTA,4151325,3946528,-204797,2304264,2419477,115213,3247800,4151325,903525,2194537,2304264,109727,3004798,3247800,243002,2090036,2194538,104502,2978995,3004798,25803,2837802,2978995,141193,1928158,2837802,909644,1928158,347069,-1581089,0,1719478,1805452,85974,NPM #1 SANTA CRUZ
11338017,NORAH'S RANCH/707 E FRONTAGE RD-NORAS1-DELTA,7865877,7465168,-400709,4799943,5039940,239997,6148112,7865877,1717765,4571374,4799943,228569,5686622,6148112,461490,4353690,4571375,217685,5637098,5686622,49524,5368754,5637098,268344,3760881,5368754,1607873,3760881,3760881,0,0,3760881,3760881,0,NPM #1 SANTA CRUZ
11338018,NORAH'S - KALIROY/DELTA,3472476,3559175,86699,1600377,1680396,80019,3127159,3472476,345317,1524168,1600376,76208,2910255,3127159,216904,1451589,1524168,72579,2141640,2141640,0,1316634,2141640,825006,1316634,1316634,0,1691784,2082946,391162,0,1508686,1584120,75434,NPM #1 SANTA CRUZ
11343003B,PK WEST- GRAZING 2023,218,196,-22,218,218,0,218,218,0,217,218,1,27250,27250,0,27250,27250,0,27250,27250,0,27250,27250,0,27250,27250,0,27250,27250,0,27200,27250,27250,0,NPM #1 SANTA CRUZ
11345165A 5,FAIRWAY- 3975 FAIRWAY -  PROTECH/OCT'04,869966,869966,0,869966,869966,0,869966,869966,0,869966,869966,0,869966,869966,0,869966,869966,0,869966,869966,0,869966,869966,0,813246,869966,56720,813246,813246,0,813246,813246,813246,0,NPM #1 SANTA CRUZ
11345169,SANCHEZ HSE - 1488 POTRERO,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,SOLD,,,172000,172000,0,172648,172000,172000,0,NPM #1 SANTA CRUZ
11345367,MEADOW HILLS - 1310 FAIRWAY,921233,916714,-4519,734851,771594,36743,699858,921233,221375,699858,734851,34993,699858,699858,0,699858,699858,0,880657,922249,41592,880657,880657,0,1214916,1269646,54730,1218170,1214916,-3254,1088366,1142784,1199923,57139,NPM #1 SANTA CRUZ
11346037A 0,MARIPOSA RANCH LOTG - 1590 W CALLE PLATA,1099478,1099478,0,1099478,1099478,0,1099478,1099478,0,1099478,1099478,0,1099478,1099478,0,1099478,1099478,0,1099478,1099478,0,1084381,1121345,36964,1077769,1084381,6612,1077769,1077769,0,1072583,1077769,1077769,0,NPM #1 SANTA CRUZ
11346038C 1,MARIPOSA RANCH LOTK - 1420 N MARIOSA RANCH RD,448500,377239,-71261,378222,377239,-983,366856,448500,81644,360211,378222,18011,343059,366856,23797,343059,360212,17153,340494,343059,2565,329071,340494,11423,320300,329071,8771,322983,320300,-2683,300409,315429,320300,4871,NPM #1 SANTA CRUZ
11346051 1,LA QUINTA II LOT 1 - FLO0D PLANE    ,2624633,2624633,0,2624633,2624633,0,2624633,2624633,0,2624633,2624633,0,2624633,2624633,0,2624633,2624633,0,2624633,2624633,0,2624633,2624633,0,2623722,3027579,403857,2623722,2623722,0,2623722,2623722,2623722,0,NPM #1 SANTA CRUZ
11349013A 9,MARIPOSA III,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,,0,NPM #1 SANTA CRUZ
11349013B 8,11 ACRES MARIPOSA II  /  480 N MARIPOSA RD,8875120,8623813,-251307,6113091,6418746,305655,6052026,8875120,2823094,5821991,8595580,2773589,5544753,6052026,507273,5544753,5821991,277238,5544753,5544753,0,5522479,5736152,213673,5243490,5522479,278989,5724842,5837707,112865,4102286,5284230,5548440,264210,NPM #1 SANTA CRUZ
11349019B 6,N I P - 225 N FREEPORT DR (DAVIDS),1112347,979081,-133266,957605,979081,21476,930748,1112347,181599,912005,957605,45600,868576,930748,62172,868576,912005,43429,868576,868576,0,867960,892194,24234,822185,867960,45775,822185,822185,0,822186,822185,822185,0,NPM #1 SANTA CRUZ
11349019E 3,N I P - 92 N FREEPORT DR (EMPTY LOT),1283749,1150377,-133372,1165436,1150377,-15059,1125967,1283749,157782,1109939,1165436,55497,1057085,1125967,68882,1057085,1109939,52854,1057085,1057085,0,1054372,1076036,21664,1059453,1054372,-5081,1072844,1059453,-13391,1007979,1058379,1059453,1074,NPM #1 SANTA CRUZ
11349019G,NIP - 150 N FREEPORT (CORP ADUANA RIBACOESQU),435495,402780,-32715,380142,399149,19007,371948,435495,63547,362040,380142,18102,344800,371948,27148,344800,362040,17240,340279,344800,4521,332814,340279,7465,329636,332814,3178,329636,329636,0,329801,329636,329636,0,NPM #1 SANTA CRUZ
11349019H 0,N I P - 165 N. FREEPORT DR,258355,230411,-27944,223427,230411,6984,219167,258355,39188,212787,223426,10639,202655,219167,16512,202655,212788,10133,199580,202655,3075,194810,199580,4770,195772,194810,-962,201412,195772,-5640,189347,198814,195772,-3042,NPM #1 SANTA CRUZ
11349024A 1,N I P - 180 N FREEPORT DR (MARINOS WHSE),538088,481721,-56367,438437,460359,21922,428513,538088,109575,417559,438437,20878,397675,428513,30838,397675,417559,19884,394182,397675,3493,378657,394182,15525,370542,378657,8115,370671,370542,-129,342738,359875,370542,10667,NPM #1 SANTA CRUZ
11349024B 0,N I P - 149 N FREEPORT DR (PALLETUSMEX),7832075,7528821,-303254,3369536,3538046,168510,6140208,7832075,1691867,3209081,3369535,160454,5630016,6140208,510192,3056267,3209080,152813,5575546,5630016,54470,5345366,5575546,230180,5113508,5345366,231858,5087517,5139195,51678,2394664,2514398,2640118,125720,NPM #1 SANTA CRUZ
11349026B,BARRON NIP 100 ACRES- 71 N. FREEPORT DR,4644033,4655474,11441,3765867,3954159,188292,3701396,4644033,942637,3586539,3765867,179328,3415752,3701396,285644,3415752,3586540,170788,3379764,3415752,35988,3382923,3379764,-3159,16805,3382923,3366118,16808,16805,-3,16733,16808,16805,-3,NPM #1 SANTA CRUZ
11349030,BARRON NIP 30.04 ACRES - W MARIPOSA RD,601,541,-60,601,541,-60,601,601,0,601,601,0,601,601,0,601,601,0,601,601,0,601,601,0,601,601,0,601,601,0,601,601,601,0,NPM #1 SANTA CRUZ
12130019B,COMMUNICATION TOWER (THEO) -CANCELADO 2015 102-13019B 2018 -102-13019C Y D,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,,0,,,0,,,,0,NPM #1 SANTA CRUZ
12401057 8,1249 CALLE PICO GORDO,209031,205868,-3163,150009,157509,7500,198773,209031,10258,142865,150008,7143,139543,198773,59230,136062,142865,6803,139543,139543,0,123412,158006,34594,118206,123412,5206,115772,118206,2434,115772,115772,118206,2434,NPM #1 SANTA CRUZ
12401062 2,410 VIA CALANDRIA,194593,195418,825,142934,150081,7147,185355,194593,9238,136124,142933,6809,131540,185355,53815,129645,136127,6482,131540,131540,0,117592,150592,33000,113963,117592,3629,110576,113963,3387,110576,110576,113963,3387,NPM #1 SANTA CRUZ
12401064,412 VIA CALANDRIA,189025,192525,3500,189025,192525,3500,184825,189025,4200,184825,189025,4200,184825,184825,0,184825,184825,0,184825,184825,0,184825,184825,0,184825,184825,0,184825,184825,0,145538,152815,160456,7641,NPM #1 SANTA CRUZ
12401072,1209 CAMINO GILBERTO,203229,200025,-3204,150090,157595,7505,109456,203229,93773,71771,150089,78318,93759,109456,15697,68353,71771,3418,77720,93759,16039,61998,77720,15722,61182,61998,816,60384,61182,798,58399,60384,61182,798,NPM #1 SANTA CRUZ
12402102 8,419 CAMINO DEL PATIO,209330,205230,-4100,151081,158635,7554,200157,209330,9173,143887,151081,7194,141066,200157,59091,137036,143888,6852,141066,141066,0,124296,159227,34931,120409,124296,3887,116559,120409,3850,116559,116559,120409,3850,NPM #1 SANTA CRUZ
12403025C,SUB RIO RICO VILLAS UNOT NO 13-1480 W FRONTAGE RD-GRG,129247,124284,-4963,67647,71029,3382,112226,129247,17021,64426,67647,3221,61358,112226,50868,61358,64426,3068,,,,,,,,,,,,,,,,,NPM #1 SANTA CRUZ
12403034,462 AVE PAPALOTE,444047,427764,-16283,229950,241448,11498,342879,444047,101168,219000,229950,10950,235917,342879,106962,208571,219000,10429,235917,235917,0,189180,241342,52162,185272,189180,3908,181470,185272,3802,171538,180115,185272,5157,NPM #1 SANTA CRUZ
14001005 5,COMBATE (K&F) - 9 OJO CT ( FLOOD PLANE),935814,800835,-134979,430803,452343,21540,410289,935814,525525,410289,430803,20514,392594,410289,17695,392594,410289,17695,383855,392594,8739,383855,383855,0,488994,549040,60046,488994,488994,0,454737,477474,488994,11520,NPM #1 SANTA CRUZ
10533070,THANASIS HOUSE - 3204 N CANYON VIEW DR,1280545,1199127,-81418,779355,818323,38968,1077134,1280545,203411,742243,779355,37112,706898,1077134,370236,706898,742243,35345,688927,706898,17971,689892,688927,-965,663415,689892,26477,,,,,,,,NPM #1 SANTA CRUZ
11450012A,RR PLAZA/1060 YAVAPAI DR/CRISPY FOODS,1869180,1923501,54321,1561918,1640014,78096,1548019,1869180,321161,1487541,1561918,74377,2271185,2242910,-28275,2166669,2155284,-11385,1632713,1681387,48674,1499514,1555757,56243,1439543,1499514,59971,,,,,,,,NPM #1 SANTA CRUZ
11450012B,"CRISPY FOODS, LLC - CAR WASH  RIO RICO",782839,778702,-4137,704648,739880,35232,698378,782839,84461,671094,704649,33555,,,,,,,,,,,,,,,,,,,,,,,NPM #1 SANTA CRUZ
11450015A,RR PLAZA-BACK LOT W FRONTAGE RD,54850,54850,0,54850,54850,0,54850,54850,0,54850,54850,0,54850,54850,0,54850,54850,0,548750,54850,-493900,54850,54850,0,54850,54850,0,,,,,,,,NPM #1 SANTA CRUZ
10213019C,BUENA VISTA ANTHENA,5192,5192,0,5192,5192,0,5192,5192,0,5192,5192,0,5192,5192,0,5192,5192,0,5192,5192,0,5192,5192,0,5192,5192,0,,,,,,,,NPM #1 SANTA CRUZ
10213019D,TOP OF BUENA VISTA APTS,208,208,0,208,208,0,208,208,0,208,208,0,208,208,0,208,208,0,208,208,0,208,208,0,208,208,0,,,,,,,,NPM #1 SANTA CRUZ
10201035N 7,1967 N. GRAND  (LARRIVAS) LMP,5886863,5757450,-129413,4714436,4950158,235722,4674374,5673531,999157,4489938,4714435,224497,4304383,4702625,398242,4304383,4519602,215219,4151825,4304383,152558,4151825,4151825,0,4260074,4494595,234521,4260074,4260074,0,3980868,4179912,4260074,80162,NPM #1 SANTA CRUZ
10201074 7,MARIPOSA HOTEL,1982957,2043835,60878,1626869,1708212,81343,1785687,1982957,197270,1549399,1626869,77470,1475618,1785687,310069,1475618,1549399,73781,1475618,1475618,0,1767458,1790681,23223,1475618,2453874,978256,1475648,1475618,-30,1475618,1475618,1475618,0,NPM #1 SANTA CRUZ
10213019A,BUENA VISTA HOUSE,243381,243381,0,243381,243381,0,243381,243381,0,243381,243381,0,243381,243381,0,243381,243381,0,243381,243381,0,243381,243381,0,256193,243381,-12812,256193,256193,0,210000,220500,231525,11025,NPM #1 SANTA CRUZ
10526034 5,PATE - 513 VALLE VERDE DR,208874,191710,-17164,181626,190707,9081,177231,208874,31643,172977,181626,8649,164740,177231,12491,164740,172977,8237,160613,164740,4127,157424,160613,3189,157586,157424,-162,160722,157586,-3136,157228,160722,157586,-3136,NPM #1 SANTA CRUZ
10203002C 1,R.O.C.  - 1777 N. FRANK REED RD.,278714,238032,-40682,243231,238032,-5199,237083,278714,41631,231649,243231,11582,220619,237083,16464,220619,231650,11031,216153,220619,4466,211610,216153,4543,207948,211610,3662,207822,207948,126,189255,198718,207948,9230,NPM #1 SANTA CRUZ
10203002H 6,R.O.C.  - 1777 N. FRANK REED RD.,274504,234272,-40232,242122,234272,-7850,,,0,,,0,219612,235054,15442,219612,230593,10981,215104,219612,4508,210786,215104,4318,207665,210786,3121,207589,207665,76,189885,199379,207665,8286,NPM #1 SANTA CRUZ
10203002K,R.O.C. - W PAUL BOND DR,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,0,85595,85595,85595,0,NPM #1 SANTA CRUZ
10306002A 9,PANOUSOPOULOS SCHOLASTIC CHARITABLE,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,0,85000,85000,85000,0,NPM #1 SANTA CRUZ
10310024B,LAND -  K RANCH,840,756,-84,840,756,-84,840,840,0,840,840,0,840,840,0,840,840,0,840,840,0,840,840,0,840,840,0,840,840,0,840,840,840,0,NPM #1 SANTA CRUZ
10323265A,MONTE CARLO APTS - 2461 N PLACITA SOCORRO,830650,793323,-37327,597128,626984,29856,568693,830650,261957,568693,597128,28435,568693,568693,0,568693,568693,0,645793,671524,25731,646334,645793,-541,624946,646334,21388,622723,624946,2223,603619,622723,624946,2223,NPM #1 SANTA CRUZ
11338019A,NORAH'S II - 300 OLD TUCSON RD,11043445,10631563,-411882,5410863,5681406,270543,8601703,11043445,2441742,5153203,5410863,257660,4907812,8601703,3693891,4907812,5153203,245391,4907812,4907812,0,8278050,8676402,398352,,,,,,,,,,,NPM #1 SANTA CRUZ
11338019B,NORAH'S II - 300 OLD TUCSON RD,11050706,10638743,-411963,5412832,5683474,270642,8607874,11050706,2442832,5155078,5412832,257754,4909598,8607874,3698276,4909598,5155078,245480,4909598,4909598,0,7549355,7935257,385902,,,,,,,,,,,NPM #1 SANTA CRUZ
10201090,LAS PALMAS II - 2065 N OCEAN GARDEN DR,136125,136125,0,136125,136125,0,136125,136125,0,136125,136125,0,136125,136125,0,136125,136125,0,136125,136125,0,136125,136125,0,,,,,,,,,,,NPM #1 SANTA CRUZ
11338010D,FEDEX 1- LOT,331670,331670,0,331670,331670,0,331670,331670,0,331670,331670,0,331670,331670,0,323203,331670,8467,0,331670,331670,,,,,,,,,,,,,,NPM #1 SANTA CRUZ
11338010E,FEDEX 2 - (SOLD) 03/2023-CHUCHO WAREHOUSE,,,0,5737534,6024411,286877,7046992,8806287,1759295,5737534,6024411,286877,331727,3037195,2705468,323259,2472830,2149571,0,331727,331727,,,,,,,,,,,,,,NPM #1 SANTA CRUZ
10201074B 5,LOMA LINDA MALL LLC,4262537,4064908,-197629,3718055,3903958,185903,,,,,,,3541005,3541005,0,3403190,3541005,137815,,,,4684510,4743374,58864,,,,4609584,,,4234026,4445727,,,LOMA LINDA SANTA CRUZ
10201074C4,DELTA PROP. LLP,2400000,5031557,2631557,2400000,2520000,120000,,,,,,,2469030,2914790,445760,2469030,2592482,123452,,,,3195442,3236104,40662,,,,3367273,,,3098970,3253919,,,LOMA LINDA SANTA CRUZ
10801142C,6910 N. MERCER SPRINGS,830069,925811,95742,656825,689666,32841,775388,830069,54681,625548,656825,31277,658936,775388,116452,595760,625548,29788,567390,595760,28370,566396,567390,994,554827,566396,11569,534305,554827,20522,,500297,525312,25015,NPM #1 PIMA
109311010,6121 N VIA PRESILLA PC/LA PALOMA RIDGES ESTSII,,,0,,,0,766681,931293,164612,552010,579611,27601,612600,766681,154081,607059,637412,30353,,,,,,,,,,,,,,,,,NPM #1 PIMA
108011820,"3700 E. ROSE PEAK PL (P.SEP,'09)",1867082,2036682,169600,1592397,1672017,79620,1581176,1867082,285906,1516569,1592397,75828,1458106,1581176,123070,1444351,1516569,72218,1375572,1444351,68779,1389054,1375572,-13482,1349599,1389054,39455,1360749,1349599,-11150,,1360749,1349599,-11150,NPM #1 PIMA
112021530,TUC HSE. 3654 N. SUNTERRA,374716,386538,11822,283137,297294,14157,312256,374716,62460,269654,283137,13483,274202,312256,38054,256813,256813,0,244584,256813,12229,236179,244584,8405,227695,236179,8484,228718,227695,-1023,227695,228718,227695,-1023,NPM #1 PIMA
304189200,3290 S. CANOA PLAZA,1207608,1207608,0,1033059,1084712,51653,1207608,1207608,0,983866,1033059,49193,1207608,1207608,0,937015,983866,46851,1207735,1207608,-127,1207735,1207735,0,1207735,1207735,0,953475,1207735,254260,,770885,809429,38544,NPM #1 PIMA
30421116B,101 W ESPERANZA BL,303271,564217,260946,227133,238490,11357,303271,303271,0,216317,227133,10816,481630,499869,18239,206016,216317,10301,,,0,,,0,,,0,,,0,,,,0,NPM #1 PIMA
30421116E,99 W ESPERANZA BL,125422,125438,16,125422,125438,16,125422,125422,0,125422,125422,0,206729,206729,0,160588,168617,8029,,,,,,,,,,,,,,,,,NPM #1 PIMA
30421116K,115 W ESPERANZA BL,1389643,2290495,900852,1384972,1454221,69249,1389643,1389643,0,1319021,1384972,65951,2290495,2290495,0,1256210,1319021,62811,,,0,,,0,,,0,,,0,,,,0,NPM #1 PIMA
30421116L,69 W ESPERANZA BL,35296,63050,27754,35296,37061,1765,35296,35296,0,35296,35296,0,57886,59051,1165,46429,48750,2321,,,0,,,0,,,0,,,0,227695,,,0,NPM #1 PIMA
30421116M,1610 - BANK,85803,162749,76946,73269,76932,3663,85803,85803,0,69780,73269,3489,135814,141426,5612,66457,69780,3323,,,0,,,0,,,0,,,0,227696,,,0,NPM #1 PIMA
30421119B,191 W. ESPERANZA BL,496566,792770,296204,496566,521394,24828,496566,496566,0,496566,496566,0,686606,773967,87361,489465,513938,24473,,,0,,,0,,,0,,,0,227697,,,0,NPM #1 PIMA
30421119G,121 W. ESPERANZA BL,1309380,2158200,848820,688586,723015,34429,1309380,1309380,0,655796,688586,32790,2158200,2158200,0,624568,655796,31228,,,0,,,0,,,0,,,0,227698,,,0,NPM #1 PIMA
30421119J,101 S LA CANADA DR,643794,1061140,417346,470623,494154,23531,643794,643794,0,448212,470623,22411,1061140,1061140,0,426869,448212,21343,,,0,,,0,,,0,,,0,227699,,,0,NPM #1 PIMA
30421119M,ESPERANZA FRONTAGE,3769340,6257360,2488020,3769340,3957807,188467,3769340,3769340,0,3769340,3769340,0,6257360,6257360,0,3632508,3814133,181625,,,0,,,0,,,0,,,0,227700,,,0,NPM #1 PIMA
30421119P,255 W ESPERANZA BL,189829,322846,133017,189829,199320,9491,189829,189829,0,189829,189829,0,266020,312887,46867,266020,279321,13301,,,0,,,0,,,0,,,0,227701,,,0,NPM #1 PIMA
304211180,249 W ESPERANZA BL,464623,765820,301197,336839,353681,16842,464623,464623,0,320799,336839,16040,765820,765820,0,305523,320799,15276,,,0,,,0,,,0,,,0,227702,,,0,NPM #1 PIMA
304211170,231 W ESPERANZA BL,537033,885170,348137,518744,544681,25937,537033,537033,0,494042,518744,24702,885170,885170,0,470516,494042,23526,,,0,,,0,,,0,,,0,227703,,,0,NPM #1 PIMA
K3353-00-000-0012-00,9901 PHARR LLC,,,,0,,,0,2679928,3193213,0,3193213,,,,,,,,,,,,,,,,,,,,,,,,PHARR HIDALGO
K2400-00-000-0382-10,E MILITARY WAY LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHARR HIDALGO
